JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J INFECT DIS;0022-1899;42700;6.410;6.250;1.237;600;8.0;0.10274;2.287;
J INTERN MED;0954-6820;7706;5.483;5.676;1.761;109;7.0;0.02056;2.031;
J INVEST DERMATOL;0022-202X;22454;6.314;5.793;1.636;242;8.2;0.05012;1.956;
J LIPID RES;0022-2275;19338;5.559;5.086;1.253;225;7.7;0.05007;1.840;
J MAMMARY GLAND BIOL;1083-3021;1972;6.741;5.819;0.281;32;7.2;0.00559;2.117;
J MATER CHEM;0959-9428;46166;5.968;5.992;1.088;2527;4.3;0.12641;1.575;
J MED CHEM;0022-2623;56481;5.248;5.321;1.049;709;7.4;0.09636;1.302;
J MED GENET;0022-2593;11334;6.365;5.669;1.099;131;7.4;0.03041;2.284;
J MOL CELL BIOL;1674-2788;298;7.667;7.667;1.000;37;1.8;0.00170;2.803;
J MOL CELL CARDIOL;0022-2828;10969;5.166;4.988;1.338;231;6.3;0.03137;1.712;
J NATL CANCER I;0027-8874;35847;13.757;14.537;3.308;130;9.5;0.08069;6.188;
J NEUROSCI;0270-6474;150228;7.115;7.915;1.141;1790;7.3;0.44963;3.255;
J NUCL MED;0161-5505;21165;6.381;6.527;1.037;272;6.9;0.04724;1.910;
J PATHOL;0022-3417;13421;6.318;6.143;2.153;176;7.5;0.03406;2.232;
J PHOTOCH PHOTOBIO C;1389-5567;1654;10.360;12.458;0.375;16;6.6;0.00367;3.394;
J PHYS CHEM LETT;1948-7185;4695;6.213;6.217;1.405;529;1.4;0.02417;2.075;
J PINEAL RES;0742-3098;4136;5.794;4.286;0.889;99;5.5;0.00615;0.675;
J PSYCHIATR NEUROSCI;1180-4882;1823;5.342;5.161;1.172;29;5.5;0.00544;1.595;
J THROMB HAEMOST;1538-7933;12697;5.731;5.950;1.070;284;4.6;0.05417;1.988;
J VIROL;0022-538X;96570;5.402;5.324;1.291;1318;7.7;0.19061;1.593;
JACC-CARDIOVASC IMAG;1936-878X;1979;5.431;5.841;1.670;106;2.4;0.01283;2.272;
JACC-CARDIOVASC INTE;1936-8798;2602;6.800;7.123;1.626;131;2.3;0.01904;3.118;
JAMA-J AM MED ASSOC;0098-7484;117668;30.026;29.684;6.927;220;8.8;0.28566;13.111;
KIDNEY INT;0085-2538;37436;6.606;6.341;2.203;256;8.1;0.07127;2.060;
LAB CHIP;1473-0197;13729;5.670;6.497;1.143;538;3.6;0.05036;1.716;
LANCET;0140-6736;158906;38.278;33.797;10.576;276;8.9;0.36095;13.611;
LANCET INFECT DIS;1473-3099;8629;17.391;16.161;5.610;77;4.7;0.03521;6.192;
LANCET NEUROL;1474-4422;12969;23.462;20.598;5.070;86;3.8;0.06899;7.919;
LANCET ONCOL;1470-2045;13237;22.589;18.730;4.848;105;3.7;0.06914;7.421;
LASER PHOTONICS REV;1863-8880;1188;7.388;8.772;2.600;40;2.7;0.00918;4.071;
LASER PHYS LETT;1612-2011;4670;9.970;5.927;2.062;145;2.4;0.01150;0.899;
LEUKEMIA;0887-6924;17255;9.561;8.205;2.126;183;5.4;0.06764;3.329;
LIVING REV RELATIV;1433-8351;1215;17.462;;2.250;8;6.0;0.00560;;
LIVING REV SOL PHYS;1614-4961;370;12.500;;0.667;6;5.0;0.00278;;
MACROMOLECULES;0024-9297;93776;5.167;5.030;0.921;1165;8.3;0.14994;1.240;
MASS SPECTROM REV;0277-7037;3994;10.461;11.676;2.021;47;5.7;0.01104;3.479;
MAT SCI ENG R;0927-796X;4487;14.951;16.500;1.750;12;7.9;0.00815;5.695;
MATER TODAY;1369-7021;3452;5.565;10.451;0.482;56;4.7;0.01927;4.306;
MAYO CLIN PROC;0025-6196;9150;5.698;5.432;1.202;99;8.0;0.02278;1.972;
MBIO;2150-7511;451;5.311;5.311;1.017;121;1.3;0.00260;2.327;
MED RES REV;0198-6325;3096;10.700;10.030;2.125;24;6.8;0.00677;2.736;
METAB ENG;1096-7176;2250;5.614;5.911;1.203;79;4.5;0.00653;1.501;
MICROBIOL MOL BIOL R;1092-2172;8496;13.018;16.814;2.227;22;8.9;0.01941;7.299;
MILBANK Q;0887-378X;2027;5.620;4.909;0.478;23;7.9;0.00530;2.627;
MOL ASPECTS MED;0098-2997;2656;9.970;10.272;0.786;14;5.2;0.00843;3.044;
MOL BIOL EVOL;0737-4038;28313;5.550;9.857;2.034;297;6.4;0.09201;3.839;
MOL CANCER THER;1535-7163;12886;5.226;5.390;0.885;226;4.3;0.05742;1.787;
MOL CELL;1097-2765;44493;14.178;14.202;2.875;288;5.9;0.25075;8.948;
MOL CELL BIOL;0270-7306;67032;5.527;5.766;1.249;398;8.9;0.17384;3.019;
MOL CELL PROTEOMICS;1535-9476;12985;7.398;8.633;1.449;265;4.6;0.05425;2.979;
MOL ECOL;0962-1083;26842;5.522;6.347;1.109;368;6.3;0.07334;2.082;
MOL NEUROBIOL;0893-7648;2358;5.735;5.434;0.700;60;5.9;0.00778;2.002;
MOL PLANT;1674-2052;1632;5.546;5.415;1.141;92;2.4;0.00952;1.840;
MOL PSYCHIATR;1359-4184;11679;13.668;12.992;3.676;102;5.3;0.04057;4.647;
MOL SYST BIOL;1744-4292;4671;8.626;11.620;1.621;95;3.6;0.03915;5.833;
MOL THER;1525-0016;11679;6.873;6.284;1.704;230;4.5;0.04298;2.022;
MUCOSAL IMMUNOL;1933-0219;1475;6.963;7.006;1.746;67;2.6;0.01040;3.222;
MUTAT RES-REV MUTAT;1383-5742;2571;6.462;7.920;0.429;21;6.0;0.00719;2.419;
NANO LETT;1530-6984;75287;13.198;13.843;2.082;955;4.2;0.34591;5.070;
NANO RES;1998-0124;2017;6.970;7.461;0.918;122;2.3;0.01114;2.392;
NANO TODAY;1748-0132;2170;15.355;16.078;2.324;37;2.8;0.01213;5.167;
NANOMED-NANOTECHNOL;1549-9634;2091;6.692;;0.800;110;3.0;0.00724;;
NANOSCALE;2040-3364;3187;5.914;5.914;1.187;653;1.4;0.01166;1.566;
NANOTOXICOLOGY;1743-5390;793;5.758;6.781;1.233;60;2.8;0.00333;1.732;
NAT BIOTECHNOL;1087-0156;36144;23.268;28.161;7.464;84;6.6;0.12942;12.948;
NAT CELL BIOL;1465-7392;29959;19.488;20.116;4.912;159;5.7;0.15877;11.651;
NAT CHEM;1755-4330;5260;20.524;20.533;5.308;120;1.8;0.03284;7.957;
NAT CHEM BIOL;1552-4450;9001;14.690;16.052;3.105;124;3.3;0.06514;7.353;
NAT CLIN PRACT CARD;1743-4297;1403;7.043;5.633;;0;4.2;0.00750;1.947;
NAT CLIN PRACT ENDOC;1745-8366;1127;7.545;6.195;;0;4.3;0.00678;2.124;
NAT CLIN PRACT GASTR;1743-4378;846;5.333;3.988;;0;5.0;0.00395;1.337;
NAT CLIN PRACT NEPHR;1745-8323;803;6.083;4.871;;0;4.4;0.00488;1.716;
NAT CLIN PRACT NEURO;1745-834X;1055;7.636;6.712;;0;4.4;0.00663;2.362;
NAT CLIN PRACT ONCOL;1743-4254;1527;8.000;7.327;;0;4.6;0.00869;2.822;
NAT CLIN PRACT RHEUM;1745-8382;1058;5.846;5.246;;0;4.4;0.00644;1.800;
NAT COMMUN;2041-1723;1859;7.396;7.396;1.659;451;1.2;0.01222;4.473;
NAT GENET;1061-4036;76456;35.532;33.096;6.357;196;6.8;0.32990;17.584;
NAT GEOSCI;1752-0894;5131;11.754;11.920;2.286;147;2.5;0.05433;7.369;
NAT IMMUNOL;1529-2908;31436;26.008;24.735;5.856;132;5.4;0.16336;13.435;
NAT MATER;1476-1122;39242;32.841;36.732;6.246;134;4.7;0.22091;17.925;
NAT MED;1078-8956;54228;22.462;26.418;5.150;187;7.5;0.16542;12.156;
NAT METHODS;1548-7091;15269;19.276;20.454;5.133;128;3.7;0.12512;11.147;
NAT NANOTECHNOL;1748-3387;16581;27.270;33.781;5.496;117;3.1;0.12858;14.885;
NAT NEUROSCI;1097-6256;39636;15.531;16.289;3.540;226;6.6;0.15963;8.618;
NAT PHOTONICS;1749-4885;10259;29.278;30.773;5.031;96;2.7;0.09377;16.130;
NAT PHYS;1745-2473;14228;18.967;18.557;5.767;163;3.2;0.17245;13.608;
NAT PROD REP;0265-0568;5774;9.790;9.671;2.611;72;5.7;0.01594;2.976;
NAT PROTOC;1754-2189;13626;9.924;10.201;0.930;157;4.2;0.10716;4.430;
NAT REV CANCER;1474-175X;28602;37.545;38.460;4.838;68;5.8;0.12608;17.949;
NAT REV CARDIOL;1759-5002;1018;8.833;8.863;1.925;53;1.9;0.00716;3.826;
NAT REV CLIN ONCOL;1759-4774;1558;11.963;12.000;3.477;65;1.9;0.00999;4.995;
NAT REV DRUG DISCOV;1474-1776;16887;29.008;32.123;5.590;61;5.0;0.06910;11.848;
NAT REV ENDOCRINOL;1759-5029;1179;9.971;10.000;2.017;60;2.0;0.00773;4.012;
NAT REV GASTRO HEPAT;1759-5045;888;8.102;8.102;1.660;53;1.8;0.00536;2.982;
NAT REV GENET;1471-0056;20384;38.075;31.359;7.014;71;4.7;0.12132;16.961;
NAT REV IMMUNOL;1474-1733;22613;33.287;34.302;5.116;69;5.0;0.11969;16.820;
NAT REV MICROBIOL;1740-1526;12517;21.182;20.928;3.729;70;4.5;0.06682;9.018;
NAT REV MOL CELL BIO;1471-0072;29222;39.123;42.508;6.500;66;5.1;0.17417;23.861;
NAT REV NEPHROL;1759-5061;849;7.092;7.110;0.984;62;1.9;0.00533;2.666;
NAT REV NEUROL;1759-4758;1390;12.461;12.480;1.909;55;1.7;0.00922;4.928;
NAT REV NEUROSCI;1471-003X;24316;30.445;34.187;5.085;47;5.9;0.10612;16.117;
NAT REV RHEUMATOL;1759-4790;1196;8.388;8.395;1.561;66;1.9;0.00793;3.351;
NAT STRUCT MOL BIOL;1545-9993;22401;12.712;12.114;2.885;208;6.1;0.12286;7.709;
NATURE;0028-0836;526505;36.280;36.235;9.690;841;9.4;1.65524;20.373;
NEOPLASIA;1522-8002;5282;5.946;5.133;1.712;111;4.6;0.01965;1.693;
NEURO-ONCOLOGY;1522-8517;3048;5.723;5.884;1.200;130;3.4;0.01253;1.935;
NEUROBIOL AGING;0197-4580;12739;6.189;5.874;1.075;305;6.2;0.03378;1.851;
NEUROBIOL DIS;0969-9961;9820;5.403;5.271;1.272;239;5.0;0.03456;1.681;
NEUROIMAGE;1053-8119;50569;5.895;6.608;1.237;1024;5.7;0.15356;2.162;
NEUROLOGY;0028-3878;72475;8.312;7.634;1.938;497;8.7;0.14383;2.672;
NEURON;0896-6273;64092;14.736;15.710;3.052;327;7.7;0.22750;8.508;
NEUROPSYCHOL REV;1040-7308;1339;6.618;7.395;0.615;26;4.5;0.00550;2.522;
NEUROPSYCHOPHARMACOL;0893-133X;18318;7.991;7.223;1.543;232;5.8;0.05345;2.309;
NEUROSCI BIOBEHAV R;0149-7634;11422;8.650;9.673;2.408;142;6.6;0.02965;3.369;
NEUROTHERAPEUTICS;1933-7213;1524;6.008;;0.615;65;3.0;0.00838;;
NEW ENGL J MED;0028-4793;232068;53.298;50.075;11.484;349;7.8;0.66383;21.304;
NEW PHYTOL;0028-646X;24938;6.645;6.693;1.573;344;6.9;0.06386;2.274;
NPG ASIA MATER;1884-4049;94;5.533;5.533;0.917;12;;0.00061;2.203;
NUCLEIC ACIDS RES;0305-1048;106520;8.026;7.417;2.016;1230;7.4;0.30488;3.007;
OBES REV;1467-7881;4347;7.038;7.231;1.297;148;4.5;0.01564;2.342;
ONCOGENE;0950-9232;58176;6.373;6.889;1.777;444;7.2;0.17168;2.820;
OPHTHALMOLOGY;0161-6420;24769;5.454;5.567;1.208;336;8.3;0.05634;1.888;
ORG LETT;1523-7060;68838;5.862;5.558;1.485;1680;4.9;0.18796;1.416;
P IEEE;0018-9219;16872;6.810;6.460;0.881;118;>10.0;0.04081;3.377;
P NATL ACAD SCI USA;0027-8424;504243;9.681;10.472;1.874;3614;7.8;1.60168;4.896;
P ROY SOC B-BIOL SCI;0962-8452;34839;5.415;5.670;1.345;466;8.2;0.09614;2.454;
PAIN;0304-3959;29045;5.777;6.428;1.293;335;8.8;0.04726;1.870;
PAIN PHYSICIAN;1533-3159;2790;10.722;;1.569;72;2.7;0.00459;;
PART FIBRE TOXICOL;1743-8977;1029;7.253;;0.781;32;2.8;0.00460;;
PEDIATRICS;0031-4005;55406;5.437;5.785;0.938;698;7.2;0.14286;2.030;
PHARMACOL REV;0031-6997;9712;20.225;23.667;3.000;33;9.9;0.01605;8.334;
PHARMACOL THERAPEUT;0163-7258;10260;8.562;9.350;1.670;100;5.9;0.02917;2.946;
PHILOS T R SOC B;0962-8436;23973;6.401;7.154;2.746;319;7.1;0.07729;3.300;
PHYS LIFE REV;1571-0645;549;7.208;5.241;10.917;12;2.7;0.00215;2.020;
PHYS REP;0370-1573;18742;20.394;20.574;4.600;35;>10.0;0.04532;10.744;
PHYS REV LETT;0031-9007;335444;7.370;7.013;2.147;3229;7.8;1.14457;3.518;
PHYS TODAY;0031-9228;3527;5.648;4.356;1.868;38;9.4;0.01200;2.987;
PHYSIOL REV;0031-9333;20735;26.866;36.169;4.559;34;9.2;0.04726;14.983;
PHYSIOLOGY;1548-9213;2230;7.953;8.689;0.879;33;4.7;0.01174;3.557;
PLANT BIOTECHNOL J;1467-7644;2534;5.442;5.355;1.196;97;3.9;0.00781;1.248;
PLANT CELL;1040-4651;36816;8.987;10.224;1.660;288;7.6;0.08938;3.752;
PLANT CELL ENVIRON;0140-7791;13067;5.215;5.748;0.889;171;8.4;0.02542;1.746;
PLANT J;0960-7412;30416;6.160;7.121;1.343;353;7.1;0.07648;2.423;
PLANT PHYSIOL;0032-0889;59542;6.535;7.054;1.144;522;9.3;0.09877;2.219;
PLOS BIOL;1545-7885;20579;11.452;13.630;2.461;180;4.6;0.14959;7.835;
PLOS COMPUT BIOL;1553-734X;8924;5.215;5.844;0.710;407;3.1;0.06959;2.724;
PLOS GENET;1553-7390;16668;8.694;9.173;1.376;548;2.9;0.15426;5.107;
PLOS MED;1549-1277;12574;16.269;15.379;4.357;126;4.1;0.07626;6.300;
PLOS PATHOG;1553-7366;15642;9.127;9.629;1.050;542;2.7;0.11382;4.086;
POLYM CHEM-UK;1759-9954;1431;5.321;5.326;1.187;347;1.3;0.00463;1.330;
POLYM REV;1558-3724;939;6.281;8.710;1.188;16;3.7;0.00485;2.642;
PROG CRYST GROWTH CH;0960-8974;589;5.750;4.833;0.000;7;9.9;0.00130;1.681;
PROG ELECTROMAGN RES;1559-8985;4675;5.298;3.156;0.848;315;2.5;0.01474;0.626;
PROG ENERG COMBUST;0360-1285;4279;14.220;17.133;2.880;25;7.6;0.01034;5.755;
PROG INORG CHEM;0079-6379;1495;9.333;8.333;;0;>10.0;0.00081;2.936;
PROG LIPID RES;0163-7827;3761;10.667;11.950;2.733;30;7.5;0.00897;4.043;
PROG MATER SCI;0079-6425;5017;18.216;23.899;5.000;23;6.6;0.01513;9.271;
PROG NEUROBIOL;0301-0082;9985;8.874;10.056;1.614;88;9.0;0.01938;3.498;
PROG NUCL MAG RES SP;0079-6565;1765;5.214;6.296;1.550;20;7.6;0.00465;2.346;
PROG OPTICS;0079-6638;941;5.952;4.405;;;>10.0;0.00154;1.998;
PROG PHOTOVOLTAICS;1062-7995;3277;5.789;5.767;1.922;115;4.9;0.00980;1.830;
PROG POLYM SCI;0079-6700;12408;24.100;28.980;3.191;47;6.5;0.02960;8.235;
PROG QUANT ELECTRON;0079-6727;699;7.000;6.818;0.600;5;8.6;0.00187;3.091;
PROG RETIN EYE RES;1350-9462;3277;9.455;10.252;1.400;25;6.9;0.00831;3.460;
PROG SURF SCI;0079-6816;1728;8.636;8.088;0.500;12;9.0;0.00413;3.952;
PSYCHOL BULL;0033-2909;28331;14.457;18.100;1.683;41;>10.0;0.02969;8.095;
PSYCHOL MED;0033-2917;15297;6.159;6.132;0.847;235;8.8;0.03387;2.178;
PSYCHOL REV;0033-295X;19753;7.756;11.010;1.929;28;>10.0;0.02203;5.945;
PSYCHONEUROENDOCRINO;0306-4530;8114;5.809;5.264;0.860;164;6.0;0.02172;1.585;
PSYCHOTHER PSYCHOSOM;0033-3190;2663;6.284;5.092;1.179;28;7.2;0.00570;1.501;
Q REV BIOL;0033-5770;3153;7.727;6.538;0.750;8;>10.0;0.00320;3.355;
Q REV BIOPHYS;0033-5835;2221;10.091;14.044;1.667;12;>10.0;0.00704;8.532;
RADIOLOGY;0033-8419;43818;5.726;6.380;1.124;370;9.9;0.07346;2.096;
RADIOTHER ONCOL;0167-8140;10758;5.580;4.709;1.152;296;5.0;0.02558;1.155;
RENEW SUST ENERG REV;1364-0321;6844;6.018;6.619;0.742;480;2.8;0.02440;1.595;
REP PROG PHYS;0034-4885;9150;14.720;14.356;1.679;53;8.6;0.02905;7.727;
RETROVIROLOGY;1742-4690;3101;6.470;5.175;2.611;90;2.9;0.01639;1.858;
REV GEOPHYS;8755-1209;5798;12.364;11.341;1.600;15;>10.0;0.01092;6.541;
REV MED VIROL;1052-9276;1696;7.200;7.434;1.115;26;5.5;0.00542;2.420;
REV MOD PHYS;0034-6861;31368;43.933;44.436;10.026;38;9.8;0.11661;28.900;
SCHIZOPHRENIA BULL;0586-7614;10353;8.800;8.857;1.664;149;6.2;0.02969;2.960;
SCI SIGNAL;1937-9145;3597;7.499;7.143;1.424;177;2.2;0.03235;3.809;
SCI TRANSL MED;1946-6234;2509;7.804;7.809;2.977;216;1.4;0.01773;4.114;
SCIENCE;0036-8075;480836;31.201;32.452;6.075;871;9.4;1.41162;17.525;
SEMIN CANCER BIOL;1044-579X;3861;6.475;7.584;1.111;45;6.1;0.01336;2.998;
SEMIN CELL DEV BIOL;1084-9521;4982;6.646;6.294;0.961;127;4.4;0.02461;2.837;
SEMIN IMMUNOL;1044-5323;3235;6.393;8.197;1.431;51;5.2;0.01579;3.949;
SEMIN IMMUNOPATHOL;1863-2297;945;6.274;6.181;0.923;52;2.9;0.00676;2.559;
SEMIN LIVER DIS;0272-8087;3337;7.053;6.138;0.528;36;7.7;0.00748;2.082;
SIAM REV;0036-1445;4537;10.020;7.043;1.143;21;>10.0;0.01146;5.340;
SLEEP MED REV;1087-0792;2482;6.931;7.543;1.972;36;5.7;0.00799;2.655;
SMALL;1613-6810;15181;8.349;8.262;1.221;430;3.2;0.07237;2.513;
SOC COGN AFFECT NEUR;1749-5016;1374;6.132;6.675;1.042;71;3.2;0.00981;2.758;
STEM CELLS;1066-5099;17241;7.781;8.612;0.990;206;4.4;0.08118;2.935;
STROKE;0039-2499;48243;5.729;6.468;1.221;592;8.0;0.10596;2.181;
STRUCTURE;0969-2126;11853;6.347;5.931;1.515;169;7.3;0.04776;3.339;
STUD MYCOL;0166-0616;1266;10.625;7.714;1.524;21;5.7;0.00304;1.972;
SURF SCI REP;0167-5729;3702;11.696;18.095;3.250;8;8.7;0.00904;7.820;
SYST BIOL;1063-5157;10361;10.225;12.061;1.470;66;7.8;0.02672;4.639;
THORAX;0040-6376;15810;6.840;6.950;2.087;149;8.0;0.03593;2.430;
TOP CURR CHEM;0340-1022;4942;6.568;5.842;5.500;14;7.2;0.00783;1.730;
TRAC-TREND ANAL CHEM;0165-9936;6620;6.273;6.873;1.022;138;5.6;0.01672;1.816;
TRENDS BIOCHEM SCI;0968-0004;15180;10.847;11.587;2.892;74;9.0;0.04166;5.870;
TRENDS BIOTECHNOL;0167-7799;9581;9.148;9.487;1.474;76;6.9;0.02190;2.837;
TRENDS CELL BIOL;0962-8924;10684;12.354;12.481;2.565;85;6.2;0.04701;6.523;
TRENDS COGN SCI;1364-6613;13558;12.586;14.857;2.468;62;6.8;0.04670;7.133;
TRENDS ECOL EVOL;0169-5347;22734;15.748;16.981;2.514;74;8.4;0.06008;7.913;
TRENDS ENDOCRIN MET;1043-2760;5044;8.115;7.592;1.355;62;6.0;0.01747;2.986;
TRENDS GENET;0168-9525;10591;10.064;8.986;2.250;60;7.7;0.03612;4.476;
TRENDS IMMUNOL;1471-4906;7232;10.403;8.992;1.654;81;6.0;0.02731;3.819;
TRENDS MICROBIOL;0966-842X;7745;7.910;7.269;1.365;74;7.1;0.02087;2.837;
TRENDS MOL MED;1471-4914;5639;10.355;9.835;1.481;79;5.0;0.02264;3.697;
TRENDS NEUROSCI;0166-2236;17821;14.235;14.684;1.950;60;8.8;0.04569;6.626;
TRENDS PHARMACOL SCI;0165-6147;10380;10.927;10.322;1.828;87;6.8;0.02900;3.721;
TRENDS PLANT SCI;1360-1385;11845;11.047;10.991;1.964;83;7.0;0.03128;3.885;
WILDLIFE MONOGR;0084-0173;665;5.333;4.929;0.200;5;>10.0;0.00058;2.240;
WIRES NANOMED NANOBI;1939-5116;566;5.186;5.186;0.822;45;2.1;0.00278;1.488;
WORLD PSYCHIATRY;1723-8617;911;6.233;4.707;2.556;18;4.3;0.00312;1.469;

