JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
GENES CELLS;1356-9597;3798;2.680;2.954;0.653;98;7.0;0.01454;1.516;
BIOCHEM CELL BIOL;0829-8211;2642;2.673;2.507;0.373;51;7.4;0.00814;1.086;
BIOTECHNIQUES;0736-6205;7571;2.669;2.962;0.319;72;9.5;0.01258;1.132;
AMYLOID;1350-6129;816;2.660;2.302;0.256;39;7.2;0.00199;0.777;
CLONING STEM CELLS;1536-2302;953;2.660;3.042;;0;4.8;0.00304;0.861;
ORIGINS LIFE EVOL B;0169-6149;1327;2.660;2.081;0.633;30;>10.0;0.00222;0.654;
J EUKARYOT MICROBIOL;1066-5234;2506;2.659;2.097;0.439;66;7.7;0.00531;0.698;
J CHEM ECOL;0098-0331;8576;2.657;2.760;0.289;152;>10.0;0.01300;0.829;
MOL ORAL MICROBIOL;2041-1006;116;2.641;2.769;0.250;32;1.5;0.00067;0.936;
MOL GENET GENOMICS;1617-4615;3112;2.635;2.780;0.397;73;6.3;0.00862;0.920;
PROCESS BIOCHEM;1359-5113;11175;2.627;3.225;0.451;339;6.6;0.01692;0.701;
COMP BIOCHEM PHYS C;1532-0456;5429;2.616;2.897;0.778;99;8.5;0.00892;0.722;
PHOTOCH PHOTOBIO SCI;1474-905X;3988;2.584;2.688;0.620;216;4.7;0.01173;0.744;
PSYCHIAT GENET;0955-8829;1113;2.581;2.293;0.375;40;5.5;0.00340;0.722;
CHEM PHYS LIPIDS;0009-3084;3724;2.571;2.549;0.319;94;>10.0;0.00560;0.760;
J HUM GENET;1434-5161;2661;2.570;2.355;0.486;144;4.8;0.01000;0.787;
ANN HUM GENET;0003-4800;2289;2.565;2.299;0.384;73;8.0;0.00589;0.855;
CURR GENET;0172-8083;2765;2.556;2.322;0.294;34;>10.0;0.00445;0.837;
MOL BIOCHEM PARASIT;0166-6851;7039;2.551;2.738;0.861;115;>10.0;0.01197;0.895;
CLIN VACCINE IMMUNOL;1556-6811;3478;2.546;2.546;0.502;315;3.2;0.01756;0.736;
J INTEGR PLANT BIOL;1672-9072;1783;2.534;1.919;0.769;78;3.7;0.00719;0.503;
MICROB BIOTECHNOL;1751-7907;504;2.534;2.678;1.531;64;2.2;0.00226;0.826;
MOL REPROD DEV;1040-452X;5675;2.532;2.267;0.422;83;9.5;0.00845;0.614;
INSECT MOL BIOL;0962-1075;2739;2.529;2.895;0.412;68;6.8;0.00706;0.942;
DIAGN MICR INFEC DIS;0732-8893;4623;2.528;2.320;0.536;250;4.8;0.01483;0.720;
GENESIS;1526-954X;3347;2.527;2.864;0.699;83;7.4;0.01271;1.544;
BEHAV GENET;0001-8244;3159;2.520;2.994;0.709;86;9.6;0.00690;1.170;
J COMPUT NEUROSCI;0929-5313;1574;2.510;2.453;0.756;86;6.3;0.00572;1.093;
GENES NUTR;1555-8932;387;2.507;2.097;0.529;34;3.0;0.00181;0.563;
J MOL NEUROSCI;0895-8696;2705;2.504;2.432;0.592;179;5.3;0.00724;0.685;
J MED MICROBIOL;0022-2615;7138;2.502;2.652;0.565;262;6.3;0.01870;0.823;
BIOCHEM BIOPH RES CO;0006-291X;76879;2.484;2.523;0.353;1730;8.0;0.16071;0.825;
J GENE MED;1099-498X;3130;2.483;2.587;0.383;60;6.2;0.00767;0.754;
EXP MOL MED;1226-3613;1668;2.481;2.384;0.397;78;4.7;0.00529;0.658;
BMC GENET;1471-2156;1823;2.475;2.638;0.417;103;4.4;0.00725;0.903;
EVOL DEV;1520-541X;1579;2.470;2.738;0.592;49;5.8;0.00656;1.231;
EVOL ECOL;0269-7653;3044;2.453;2.854;0.678;90;>10.0;0.00644;1.085;
INT J BIOL MACROMOL;0141-8130;4402;2.453;2.661;0.315;289;6.5;0.00744;0.542;
STAT METHODS MED RES;0962-2802;1835;2.443;2.988;0.500;36;>10.0;0.00571;1.930;
FEMS IMMUNOL MED MIC;0928-8244;3845;2.441;2.404;0.504;125;6.5;0.00928;0.709;
OMICS;1536-2310;673;2.441;2.204;0.406;96;4.1;0.00262;0.693;
J CHEM NEUROANAT;0891-0618;1762;2.435;2.073;0.345;58;8.5;0.00283;0.628;
PEPTIDES;0196-9781;9227;2.434;2.492;0.466;343;6.5;0.01974;0.649;
J NEUROGENET;0167-7063;463;2.417;1.923;0.409;22;7.6;0.00205;1.072;
J EXP ZOOL PART B;1552-5007;1026;2.416;2.523;0.360;50;4.4;0.00585;1.133;
PHOTOCHEM PHOTOBIOL;0031-8655;10117;2.413;2.636;0.598;174;>10.0;0.01410;0.763;
ANAEROBE;1075-9964;1324;2.409;2.393;0.127;110;5.4;0.00370;0.670;
CURR GENOMICS;1389-2029;684;2.408;2.280;0.071;56;3.3;0.00403;0.809;
ANIM GENET;0268-9146;3010;2.403;2.592;0.417;96;6.1;0.00705;0.686;
FEMS YEAST RES;1567-1356;2539;2.403;2.499;0.507;67;5.1;0.00907;0.787;
AQUAT MICROB ECOL;0948-3055;4068;2.393;2.724;0.230;100;7.9;0.00859;0.923;
MOL INFORM;1868-1743;171;2.390;2.407;0.377;77;1.4;0.00056;0.519;
EPIGENOMICS-UK;1750-1911;177;2.375;2.375;0.130;46;2.2;0.00116;0.879;
J BIOCHEM;0021-924X;8602;2.371;2.158;0.538;143;>10.0;0.01405;0.809;
TICKS TICK-BORNE DIS;1877-959X;80;2.370;2.370;0.195;41;;0.00023;0.462;
GENE;0378-1119;18843;2.341;2.443;0.318;233;>10.0;0.02508;0.868;
COMP IMMUNOL MICROB;0147-9571;1063;2.337;2.398;0.450;60;7.2;0.00212;0.637;
J APPL MICROBIOL;1364-5072;12554;2.337;2.658;0.378;312;6.7;0.02821;0.744;
TREE GENET GENOMES;1614-2942;872;2.335;2.740;0.379;103;3.1;0.00384;0.723;
PUBLIC HEALTH GENOM;1662-4246;276;2.333;2.382;0.769;39;1.8;0.00175;0.932;
CARBOHYD RES;0008-6215;14992;2.332;2.386;0.401;404;>10.0;0.01736;0.539;
BMC MED GENET;1471-2350;1825;2.328;2.480;0.260;173;3.4;0.00951;0.828;
MICROBIOL RES;0944-5013;1441;2.308;2.534;0.380;71;5.0;0.00398;0.647;
CELL REPROGRAM;2152-4971;171;2.286;2.286;0.182;55;1.5;0.00075;0.587;
CHEM BIOL DRUG DES;1747-0277;1504;2.282;2.477;0.376;165;3.3;0.00688;0.645;
INT J RADIAT BIOL;0955-3002;4087;2.275;2.139;0.362;116;>10.0;0.00565;0.629;
J MOL EVOL;0022-2844;8316;2.274;2.515;0.289;76;>10.0;0.01014;0.926;
INT J SYST EVOL MICR;1466-5026;12678;2.268;2.438;0.462;504;5.8;0.02303;0.487;
VIRULENCE;2150-5594;265;2.264;2.264;0.971;68;1.3;0.00093;0.582;
DIAGN MOL PATHOL;1052-9551;818;2.257;2.227;0.286;35;6.0;0.00213;0.642;
NEUROCHEM RES;0364-3190;6524;2.240;2.398;0.374;278;6.7;0.01392;0.625;
COMP BIOCHEM PHYS A;1095-6433;8122;2.235;2.257;0.590;188;9.7;0.01392;0.674;
J THEOR BIOL;0022-5193;15875;2.208;2.415;0.674;433;>10.0;0.03216;0.839;
MOL VIS;1090-0535;4645;2.205;2.513;0.333;381;4.0;0.01653;0.667;
BIOPHYS CHEM;0301-4622;4908;2.203;2.163;0.587;109;8.6;0.00970;0.678;
BIOL J LINN SOC;0024-4066;7112;2.193;2.301;0.611;208;8.7;0.01460;0.825;
VITAM HORM;0083-6729;1287;2.190;2.918;0.588;34;6.1;0.00360;0.942;
J MOL GRAPH MODEL;1093-3263;4789;2.184;2.330;0.549;82;>10.0;0.00594;0.612;
EUR J MED GENET;1769-7212;901;2.178;2.088;0.311;106;3.2;0.00524;0.765;
MOL CELLS;1016-8478;2454;2.178;1.993;0.322;149;5.0;0.00797;0.622;
MOL BIOTECHNOL;1073-6085;2123;2.171;2.279;0.326;92;5.9;0.00533;0.628;
LIPIDS HEALTH DIS;1476-511X;1017;2.170;2.428;0.325;246;2.9;0.00343;0.583;
ORGANOGENESIS;1547-6278;269;2.170;;0.194;31;3.1;0.00181;;
MICROB DRUG RESIST;1076-6294;1250;2.153;2.272;0.432;81;6.7;0.00303;0.710;
ASTROBIOLOGY;1531-1074;1363;2.150;2.806;0.554;74;4.5;0.00608;1.072;
GENETICA;0016-6707;3209;2.148;2.120;0.292;120;8.8;0.00691;0.693;
FRONT COMPUT NEUROSC;1662-5188;226;2.147;2.275;0.396;48;2.0;0.00173;1.037;
BIOSTATISTICS;1465-4644;2225;2.145;3.162;0.519;54;7.3;0.01156;2.312;
CHANNELS;1933-6950;498;2.140;2.402;0.469;64;2.9;0.00358;1.005;
LIPIDS;0024-4201;6706;2.129;2.306;0.590;117;>10.0;0.00721;0.661;
GLYCOCONJUGATE J;0282-0080;2362;2.117;2.066;0.405;37;8.8;0.00471;0.732;
NEUROSIGNALS;1424-862X;677;2.111;3.163;0.211;19;6.0;0.00212;1.110;
GUT PATHOG;1757-4749;101;2.109;2.109;0.211;19;2.2;0.00052;0.615;
PRENATAL DIAG;0197-3851;4475;2.106;1.873;1.005;188;6.6;0.00994;0.544;
ANTON LEEUW INT J G;0003-6072;3823;2.091;2.118;0.375;144;9.9;0.00523;0.634;
J MICROBIOL METH;0167-7012;7178;2.086;2.544;0.369;252;6.9;0.01678;0.771;
SAR QSAR ENVIRON RES;1062-936X;715;2.086;1.874;0.256;39;5.0;0.00145;0.383;
MOL CELL PROBE;0890-8508;1752;2.078;2.274;0.341;44;7.6;0.00340;0.650;
DNA CELL BIOL;1044-5498;2335;2.072;2.014;0.326;132;8.5;0.00415;0.546;
DATABASE-OXFORD;1758-0463;145;2.071;2.071;0.527;55;1.7;0.00070;0.684;
CRYOBIOLOGY;0011-2240;3191;2.062;2.199;0.231;78;>10.0;0.00439;0.522;
FEMS MICROBIOL LETT;0378-1097;16235;2.044;2.295;0.365;285;8.9;0.02926;0.757;
METHOD ENZYMOL;0076-6879;25564;2.042;2.335;0.579;290;>10.0;0.03532;1.091;
SCI CHINA LIFE SCI;1674-7305;367;2.024;2.030;0.148;135;1.5;0.00092;0.298;
GENE EXPR PATTERNS;1567-133X;1557;2.016;2.037;0.485;66;5.7;0.00682;0.924;
APMIS;0903-4641;3141;1.991;1.884;0.157;108;8.1;0.00646;0.565;
BMC BIOCHEM;1471-2091;718;1.988;;0.182;66;4.6;0.00332;;
ANN HUM BIOL;0301-4460;1643;1.975;1.789;0.365;96;9.0;0.00281;0.536;
EUR J PROTISTOL;0932-4739;818;1.968;1.853;0.500;30;8.1;0.00169;0.614;
BIOMED CHROMATOGR;0269-3879;2728;1.966;1.880;0.422;161;4.8;0.00694;0.423;
J MOL MICROB BIOTECH;1464-1801;1384;1.953;2.505;0.167;36;7.3;0.00338;0.861;
J ZOOL SYST EVOL RES;0947-5745;827;1.950;2.129;0.491;57;5.6;0.00274;0.769;
APPL BIOCHEM BIOTECH;0273-2289;6237;1.943;1.998;0.213;361;7.1;0.01104;0.457;
PROTEIN PEPTIDE LETT;0929-8665;1787;1.942;1.545;0.281;153;3.2;0.00547;0.327;
MICROB PATHOGENESIS;0882-4010;2569;1.938;2.117;0.463;108;8.5;0.00491;0.650;
BIRTH DEFECTS RES B;1542-9733;656;1.931;2.316;0.462;52;4.2;0.00198;0.576;
BIOL TRACE ELEM RES;0163-4984;3653;1.923;1.708;0.194;501;7.0;0.00467;0.283;
COMP BIOCHEM PHYS B;1096-4959;6533;1.923;1.984;0.389;95;>10.0;0.00843;0.528;
BIOMETRIKA;0006-3444;13222;1.912;2.575;0.179;78;>10.0;0.01882;2.640;
MICROBES ENVIRON;1342-6311;558;1.906;;0.481;52;3.5;0.00201;;
YEAST;0749-503X;4183;1.895;2.056;0.443;70;>10.0;0.00574;0.836;
J GENET GENOMICS;1673-8527;615;1.883;1.587;0.239;67;3.0;0.00326;0.483;
MED BIOL ENG COMPUT;0140-0118;3539;1.878;1.874;0.465;142;9.6;0.00544;0.468;
STAT MED;0277-6715;13901;1.877;2.582;0.395;258;9.7;0.04132;1.512;
THEOR BIOL MED MODEL;1742-4682;487;1.859;2.172;0.244;45;4.3;0.00224;0.654;
B MATH BIOL;0092-8240;2783;1.847;2.002;0.312;128;8.5;0.00815;0.887;
VIRUS GENES;0920-8569;1893;1.845;1.804;0.387;119;4.8;0.00501;0.460;
J ASSIST REPROD GEN;1058-0468;1679;1.844;1.623;0.229;153;7.5;0.00320;0.406;
BIOELECTROMAGNETICS;0197-8462;2127;1.842;2.165;0.457;70;7.7;0.00330;0.478;
BIOMETRICS;0006-341X;14212;1.827;2.249;0.251;171;>10.0;0.02049;1.652;
MATH MED BIOL;1477-8599;308;1.818;1.604;0.765;17;5.8;0.00119;0.712;
CURR MICROBIOL;0343-8651;4228;1.815;1.771;0.331;363;7.8;0.00837;0.473;
J MEMBRANE BIOL;0022-2631;4064;1.808;2.002;0.640;86;>10.0;0.00513;0.671;
CHEM BIODIVERS;1612-1872;2298;1.804;1.819;0.225;182;3.8;0.00818;0.460;
J PEPT SCI;1075-2617;1715;1.799;1.714;0.387;111;4.9;0.00494;0.474;
J MOL MODEL;1610-2940;2515;1.797;2.312;0.397;317;4.5;0.00672;0.546;
MICROSC RES TECHNIQ;1059-910X;4429;1.792;1.873;0.193;150;9.4;0.00662;0.611;
HUM HERED;0001-5652;1562;1.789;2.445;0.358;53;8.2;0.00474;1.044;
BIOSYSTEMS;0303-2647;1994;1.784;1.497;0.508;118;6.3;0.00592;0.528;
DEV GENES EVOL;0949-944X;1664;1.774;1.850;0.343;35;7.9;0.00443;0.785;
CELL BIOCHEM FUNCT;0263-6484;1372;1.771;1.623;0.187;91;5.0;0.00326;0.367;
J GENET COUNS;1059-7700;682;1.770;;0.193;57;4.8;0.00229;;
REDOX REP;1351-0002;897;1.732;1.568;0.059;34;8.1;0.00140;0.412;
LUMINESCENCE;1522-7235;873;1.731;1.686;0.076;119;4.8;0.00161;0.297;
EUR CYTOKINE NETW;1148-5493;1076;1.726;2.348;0.080;25;9.0;0.00234;0.777;
INT J ASTROBIOL;1473-5504;382;1.723;;2.344;32;3.2;0.00140;;
BMB REP;1976-6696;826;1.718;2.003;0.157;127;2.8;0.00439;0.597;
COMP BIOCHEM PHYS D;1744-117X;407;1.718;2.011;0.884;43;3.6;0.00186;0.553;
PESTIC BIOCHEM PHYS;0048-3575;2369;1.713;2.064;0.266;124;7.8;0.00415;0.479;
GENET RES;0016-6723;2264;1.712;1.881;0.432;37;>10.0;0.00223;0.691;
J PHYSIOL BIOCHEM;1138-7548;481;1.711;1.479;0.318;66;5.3;0.00104;0.336;
MOL DIAGN THER;1177-1062;332;1.710;1.813;0.071;28;3.4;0.00165;0.494;
J LIPOSOME RES;0898-2104;633;1.707;2.179;0.282;39;5.7;0.00139;0.486;
TWIN RES HUM GENET;1832-4274;1056;1.701;2.052;0.137;73;4.7;0.00730;0.904;
BIOL BULL-US;0006-3185;4514;1.698;2.197;0.216;51;>10.0;0.00415;0.768;
RADIAT ENVIRON BIOPH;0301-634X;1078;1.696;1.755;0.426;54;7.7;0.00290;0.606;
J RADIAT RES;0449-3060;1315;1.683;1.794;0.123;106;5.5;0.00362;0.513;
J TRACE ELEM MED BIO;0946-672X;1160;1.683;2.357;0.148;54;6.4;0.00200;0.525;
IEEE T INF TECHNOL B;1089-7771;1613;1.676;1.825;0.538;106;4.7;0.00470;0.482;
J APPL GENET;1234-1983;816;1.664;1.749;0.311;61;5.0;0.00267;0.500;
GENOME;0831-2796;4878;1.653;1.971;0.188;101;10.0;0.00647;0.572;
J ANTIBIOT;0021-8820;6179;1.651;1.574;0.433;127;>10.0;0.00423;0.426;
THEOR POPUL BIOL;0040-5809;3420;1.650;2.059;0.083;48;>10.0;0.00704;1.033;
J BIOSCIENCES;0250-5991;1764;1.648;2.218;0.141;85;6.0;0.00523;0.722;
ORG DIVERS EVOL;1439-6092;548;1.648;1.745;0.519;27;6.0;0.00184;0.671;
DIS MARKERS;0278-0240;943;1.642;2.070;0.112;80;4.5;0.00333;0.631;
LETT APPL MICROBIOL;0266-8254;6013;1.622;1.872;0.243;202;8.4;0.01056;0.509;
STAND GENOMIC SCI;1944-3277;197;1.621;1.621;0.390;77;1.6;0.00072;0.379;
J ENZYM INHIB MED CH;1475-6366;1531;1.617;1.507;0.349;106;4.4;0.00336;0.300;
CONSERV GENET;1566-0621;3293;1.610;2.053;0.448;145;4.5;0.01237;0.642;
SCI CHINA SER C;1006-9305;844;1.610;1.148;;0;4.5;0.00239;0.282;
J RECEPT SIG TRANSD;1079-9893;557;1.588;1.663;0.135;52;5.6;0.00159;0.471;
PROTEIN EXPRES PURIF;1046-5928;4943;1.587;1.654;0.450;209;6.6;0.01076;0.484;
FOOD ENVIRON VIROL;1867-0334;84;1.562;1.563;0.444;18;;0.00036;0.413;
CHEMOECOLOGY;0937-7409;730;1.556;1.924;0.148;27;7.7;0.00174;0.658;
COMPUT BIOL CHEM;1476-9271;669;1.551;1.525;0.065;46;4.9;0.00235;0.456;
MAR GENOM;1874-7787;104;1.551;1.368;0.289;38;2.3;0.00050;0.403;
J COMPUT BIOL;1066-5277;2503;1.546;1.727;0.279;129;7.8;0.00754;0.806;
MATH BIOSCI;0025-5564;3565;1.540;1.683;0.330;94;>10.0;0.00674;0.692;
CAN J INFECT DIS MED;1712-9532;408;1.538;;0.083;24;5.3;0.00142;;
BIOTECHNOL APPL BIOC;0885-4513;1461;1.534;1.429;0.473;55;7.9;0.00232;0.359;
CR BIOL;1631-0691;1720;1.533;1.826;0.461;102;5.0;0.00517;0.533;
CYTOGENET GENOME RES;1424-8581;2962;1.533;1.729;0.586;116;6.0;0.00868;0.590;
FISH PHYSIOL BIOCHEM;0920-1742;2193;1.528;1.634;0.118;93;>10.0;0.00254;0.422;
MAGNESIUM RES;0953-1424;455;1.519;1.428;0.182;22;7.3;0.00080;0.316;
STAT APPL GENET MOL;1544-6115;1286;1.517;1.704;0.120;50;7.2;0.00341;0.914;
SYST BOT;0363-6445;2057;1.517;1.718;0.190;100;8.9;0.00376;0.572;
PLASMID;0147-619X;1509;1.516;1.744;0.212;52;>10.0;0.00275;0.609;
CELL MOL BIOL LETT;1425-8153;847;1.505;1.383;0.561;41;6.6;0.00174;0.395;
ENFERM INFEC MICR CL;0213-005X;1031;1.491;1.410;0.451;113;4.9;0.00198;0.268;
MITOCHONDR DNA;1940-1736;102;1.488;1.266;0.351;57;1.7;0.00027;0.231;
ARCH MICROBIOL;0302-8933;6524;1.431;1.846;0.562;89;>10.0;0.00623;0.586;
INT J NUMER METH BIO;2040-7939;221;1.409;1.409;0.271;129;1.4;0.00116;0.478;
CANCER GENET CYTOGEN;0165-4608;3802;1.389;1.372;;0;8.4;0.00796;0.460;
J MICROBIOL BIOTECHN;1017-7825;2336;1.381;1.253;0.108;186;4.0;0.00798;0.312;
J BIOCHEM MOL TOXIC;1095-6670;961;1.380;1.646;0.224;49;7.2;0.00171;0.417;
J THERM BIOL;0306-4565;1564;1.373;1.320;0.287;80;8.6;0.00241;0.390;
J WATER HEALTH;1477-8920;789;1.367;1.744;0.203;74;4.4;0.00336;0.532;
CAN J MICROBIOL;0008-4166;5483;1.363;1.477;0.164;128;>10.0;0.00547;0.411;

